cluster,location_geometry
75,"POLYGON ((34.10023652 -118.36515284, 34.09766186 -118.36796941, 34.09761181 -118.3653043, 34.09762573 -118.36315166, 34.0980455 -118.3626086, 34.10018253 -118.36281367, 34.10023652 -118.36515284))"
76,"POLYGON ((33.99078305 -118.28040373, 33.9851571 -118.27630509, 33.9852604 -118.2761547, 33.9916786 -118.2753685, 33.9938987 -118.2783853, 33.99078305 -118.28040373))"
77,"POLYGON ((33.9808465 -118.2739964, 33.97400779 -118.27384936, 33.97894775 -118.27009418, 33.9808475 -118.2739158, 33.9808545 -118.2739941, 33.9808465 -118.2739964))"
78,"POLYGON ((33.9921688 -118.285862, 33.9911357 -118.2957906, 33.9840847 -118.2940223, 33.98566246 -118.2877847, 33.9921688 -118.285862))"
79,"POLYGON ((33.9903958 -118.30229189, 33.994144 -118.2985423, 33.99675117 -118.29884883, 33.99685857 -118.2990151, 33.9985122 -118.30616176, 33.99580861 -118.30785457, 33.99111317 -118.30373805, 33.9903958 -118.30229189))"
80,"POLYGON ((33.97141086 -118.25849746, 33.9708746 -118.2692451, 33.9672983 -118.2676152, 33.9661205 -118.2637955, 33.96577613 -118.26140543, 33.96675135 -118.25892654, 33.9668714 -118.25891074, 33.97141086 -118.25849746))"
81,"POLYGON ((34.0110547 -118.2485765, 34.02266503 -118.25180139, 34.01906696 -118.25488902, 34.0161758 -118.256332, 34.00976156 -118.25068114, 34.00984371 -118.25026577, 34.0110547 -118.2485765))"
82,"POLYGON ((34.01347836 -118.26331115, 34.01344263 -118.26315893, 34.01354874 -118.26306908, 34.01611315 -118.26120467, 34.01606313 -118.26159493, 34.01356334 -118.26325876, 34.01347836 -118.26331115))"
83,"POLYGON ((34.00672051 -118.24636308, 34.00615063 -118.24566696, 34.00747338 -118.2436464, 34.00769655 -118.24366818, 34.00681929 -118.24622621, 34.00672051 -118.24636308))"
84,"POLYGON ((33.9961436 -118.2409632, 33.99488207 -118.24251438, 33.99094303 -118.24237639, 33.99091874 -118.24214876, 33.99095606 -118.24208159, 33.99117823 -118.24190529, 33.99315394 -118.24053858, 33.9961436 -118.2409632))"
85,"POLYGON ((34.0509672 -118.22621039, 34.024659 -118.221472, 34.0203923 -118.21367363, 34.01928302 -118.20798102, 34.023067 -118.1988601, 34.0274495 -118.1965725, 34.03591092 -118.19363971, 34.03839219 -118.19325649, 34.03931598 -118.19326295, 34.05022964 -118.19416916, 34.05820172 -118.20260883, 34.05762962 -118.21319163, 34.0556263 -118.2185071, 34.0512059 -118.226103, 34.0509672 -118.22621039))"
86,"POLYGON ((34.08378637 -118.35412432, 34.07845063 -118.34366794, 34.08239932 -118.34421963, 34.0877791 -118.34929296, 34.08378637 -118.35412432))"
87,"POLYGON ((34.08195356 -118.36992853, 34.06132949 -118.36283657, 34.05705684 -118.34572549, 34.05957694 -118.34162943, 34.06155988 -118.34100095, 34.07613969 -118.34424083, 34.08395393 -118.35616414, 34.086086 -118.36111693, 34.08392547 -118.36715519, 34.08195356 -118.36992853))"
88,"POLYGON ((34.07070469 -118.37116728, 34.0771 -118.370847, 34.07836277 -118.37637663, 34.07294778 -118.38214267, 34.07191747 -118.38113579, 34.06967036 -118.3765731, 34.07070469 -118.37116728))"
89,"POLYGON ((34.0372245 -118.307578, 34.0429185 -118.3072926, 34.0442616 -118.3086799, 34.04472209 -118.31351923, 34.04471174 -118.313667, 34.04346401 -118.31770582, 34.04091734 -118.31758691, 34.03693691 -118.31453449, 34.03696778 -118.31025565, 34.0372245 -118.307578))"
90,"POLYGON ((34.056423 -118.333703, 34.05329068 -118.33734349, 34.04950781 -118.33661278, 34.04781744 -118.32704091, 34.05548056 -118.33157041, 34.056423 -118.333703))"
91,"POLYGON ((34.04523435 -118.34483896, 34.05052355 -118.34255645, 34.049523 -118.345302, 34.04814409 -118.3476547, 34.04761791 -118.34756, 34.04523435 -118.34483896))"
92,"POLYGON ((34.04218292 -118.35433197, 34.03777591 -118.35614677, 34.03912062 -118.34882953, 34.04083422 -118.34749964, 34.04187 -118.34954, 34.04218292 -118.35433197))"
94,"POLYGON ((34.07288424 -118.24126286, 34.07096135 -118.23732764, 34.078336 -118.2352841, 34.07634021 -118.23927002, 34.07288424 -118.24126286))"
95,"POLYGON ((34.02363069 -118.32807149, 34.01963681 -118.32492727, 34.0205981 -118.3198798, 34.02354368 -118.32415046, 34.02363069 -118.32807149))"
